MH logAge Mass logL logTe logg mbolmag Umag Bmag Vmag Rmag Imag Jmag Hmag Kmag umag gmag rmag imag zmag Gmag G_BPmag G_RPmag F062mag F087mag F106mag F129mag F158mag F184mag F146mag F213mag
-2.0 6.6 0.094 -1.477 3.5641 4.095 8.463 12.148 11.027 9.595 8.606 7.804 6.791 6.199 5.999 12.985 10.412 8.975 8.386 8.03 8.887 9.793 7.945 8.794 7.582 7.147 6.676 6.259 6.09 6.638 5.998
-2.0 6.6 0.1 -1.446 3.5671 4.102 8.385 12.001 10.907 9.493 8.517 7.724 6.721 6.126 5.925 12.837 10.298 8.882 8.303 7.953 8.799 9.692 7.863 8.703 7.505 7.074 6.605 6.186 6.014 6.565 5.924
-2.0 6.6 0.103 -1.427 3.5688 4.106 8.337 11.912 10.833 9.431 8.462 7.675 6.677 6.08 5.88 12.747 10.228 8.825 8.252 7.906 8.744 9.63 7.813 8.646 7.457 7.028 6.561 6.141 5.968 6.52 5.877
-2.0 6.6 0.109 -1.4 3.5713 4.112 8.271 11.79 10.732 9.345 8.386 7.608 6.618 6.019 5.818 12.624 10.132 8.747 8.182 7.841 8.67 9.545 7.744 8.57 7.392 6.967 6.501 6.08 5.905 6.458 5.815
-2.0 6.6 0.123 -1.333 3.5771 4.122 8.103 11.489 10.481 9.131 8.197 7.436 6.465 5.863 5.662 12.32 9.892 8.551 8.004 7.675 8.481 9.331 7.569 8.376 7.225 6.809 6.349 5.925 5.744 6.302 5.657
-2.0 6.6 0.143 -1.252 3.5837 4.133 7.901 11.142 10.189 8.877 7.971 7.23 6.28 5.674 5.474 11.97 9.611 8.318 7.792 7.476 8.256 9.078 7.36 8.147 7.024 6.618 6.163 5.737 5.552 6.113 5.467
-2.0 6.6 0.183 -1.111 3.5959 4.148 7.547 10.533 9.675 8.433 7.578 6.87 5.957 5.349 5.154 11.354 9.118 7.912 7.421 7.128 7.862 8.634 6.994 7.745 6.673 6.285 5.841 5.412 5.224 5.786 5.145
-2.0 6.6 0.198 -1.066 3.6 4.153 7.434 10.332 9.506 8.288 7.45 6.754 5.854 5.246 5.054 11.151 8.957 7.779 7.301 7.017 7.733 8.489 6.876 7.614 6.561 6.179 5.738 5.309 5.121 5.682 5.044
-2.0 6.6 0.208 -1.039 3.6026 4.157 7.368 10.215 9.408 8.203 7.375 6.687 5.794 5.186 4.997 11.033 8.863 7.702 7.231 6.952 7.658 8.405 6.807 7.538 6.495 6.117 5.678 5.25 5.062 5.622 4.986
-2.0 6.6 0.211 -1.03 3.6034 4.158 7.346 10.178 9.376 8.176 7.351 6.664 5.774 5.167 4.977 10.995 8.832 7.677 7.208 6.93 7.634 8.377 6.784 7.513 6.473 6.096 5.658 5.23 5.043 5.602 4.967
-2.0 6.6 0.226 -0.988 3.6073 4.162 7.241 9.996 9.223 8.043 7.233 6.557 5.678 5.072 4.886 10.81 8.685 7.556 7.098 6.827 7.515 8.244 6.675 7.393 6.369 5.998 5.563 5.135 4.949 5.506 4.875
-2.0 6.6 0.246 -0.938 3.6124 4.17 7.116 9.77 9.035 7.882 7.092 6.429 5.566 4.962 4.781 10.581 8.506 7.409 6.966 6.704 7.373 8.082 6.545 7.249 6.245 5.881 5.45 5.025 4.84 5.394 4.769
-2.0 6.6 0.261 -0.907 3.6159 4.177 7.037 9.62 8.912 7.777 7.001 6.348 5.495 4.895 4.717 10.428 8.388 7.315 6.881 6.626 7.281 7.977 6.462 7.155 6.166 5.808 5.38 4.956 4.774 5.324 4.704
-2.0 6.6 0.285 -0.854 3.6218 4.186 6.905 9.372 8.709 7.604 6.851 6.213 5.378 4.782 4.61 10.176 8.194 7.158 6.741 6.497 7.129 7.803 6.325 7.001 6.036 5.686 5.263 4.843 4.663 5.208 4.597
-2.0 6.6 0.306 -0.811 3.627 4.195 6.796 9.164 8.541 7.46 6.727 6.102 5.282 4.693 4.526 9.964 8.033 7.029 6.627 6.392 7.003 7.658 6.212 6.874 5.929 5.586 5.168 4.752 4.576 5.114 4.511
-2.0 6.6 0.336 -0.752 3.6343 4.205 6.65 8.877 8.311 7.265 6.559 5.953 5.155 4.574 4.414 9.672 7.814 6.855 6.471 6.249 6.832 7.462 6.059 6.701 5.784 5.452 5.042 4.632 4.46 4.99 4.399
-2.0 6.6 0.352 -0.723 3.6381 4.211 6.576 8.731 8.195 7.167 6.475 5.878 5.091 4.516 4.36 9.523 7.703 6.767 6.393 6.178 6.746 7.363 5.982 6.614 5.712 5.386 4.979 4.573 4.404 4.929 4.345
-2.0 6.6 0.365 -0.699 3.6412 4.216 6.518 8.614 8.102 7.089 6.408 5.818 5.041 4.471 4.318 9.403 7.615 6.697 6.331 6.122 6.678 7.284 5.922 6.545 5.655 5.333 4.93 4.527 4.36 4.88 4.302
-2.0 6.6 0.401 -0.636 3.6494 4.228 6.361 8.305 7.859 6.883 6.229 5.659 4.907 4.351 4.206 9.088 7.384 6.512 6.166 5.97 6.495 7.075 5.759 6.361 5.501 5.192 4.797 4.404 4.244 4.751 4.189
-2.0 6.6 0.439 -0.576 3.6578 4.239 6.21 8.004 7.626 6.684 6.058 5.506 4.78 4.24 4.102 8.781 7.162 6.334 6.007 5.825 6.32 6.874 5.603 6.185 5.355 5.057 4.672 4.29 4.137 4.63 4.084
-2.0 6.6 0.451 -0.558 3.6603 4.243 6.164 7.914 7.556 6.625 6.007 5.461 4.742 4.207 4.071 8.689 7.095 6.281 5.96 5.782 6.267 6.813 5.557 6.132 5.311 5.017 4.635 4.256 4.105 4.594 4.054
-2.0 6.6 0.461 -0.543 3.6623 4.246 6.128 7.842 7.5 6.578 5.966 5.424 4.712 4.18 4.046 8.616 7.043 6.239 5.922 5.747 6.225 6.766 5.519 6.09 5.275 4.984 4.605 4.229 4.079 4.565 4.029
-2.0 6.6 0.501 -0.484 3.6701 4.254 5.98 7.558 7.281 6.39 5.803 5.277 4.589 4.073 3.946 8.328 6.834 6.07 5.77 5.607 6.057 6.575 5.369 5.922 5.133 4.853 4.484 4.119 3.975 4.447 3.927
-2.0 6.6 0.533 -0.44 3.6754 4.258 5.869 7.36 7.124 6.254 5.682 5.167 4.496 3.991 3.868 8.126 6.685 5.946 5.657 5.502 5.933 6.437 5.258 5.799 5.027 4.755 4.392 4.035 3.895 4.358 3.849
-2.0 6.6 0.55 -0.417 3.678 4.259 5.812 7.259 7.043 6.185 5.62 5.11 4.447 3.948 3.827 8.023 6.608 5.882 5.598 5.447 5.87 6.366 5.2 5.735 4.972 4.703 4.344 3.991 3.854 4.311 3.808
-2.0 6.6 0.587 -0.373 3.6825 4.261 5.703 7.079 6.898 6.057 5.505 5.003 4.353 3.864 3.746 7.841 6.469 5.764 5.488 5.344 5.751 6.235 5.091 5.617 4.868 4.605 4.252 3.905 3.771 4.221 3.727
-2.0 6.6 0.6 -0.357 3.6841 4.262 5.663 7.015 6.846 6.011 5.463 4.964 4.319 3.833 3.716 7.776 6.419 5.721 5.449 5.306 5.708 6.188 5.052 5.574 4.83 4.569 4.218 3.874 3.741 4.188 3.697
-2.0 6.6 0.607 -0.35 3.6849 4.263 5.646 6.986 6.822 5.99 5.444 4.947 4.305 3.82 3.704 7.747 6.397 5.702 5.431 5.29 5.689 6.167 5.034 5.555 4.813 4.554 4.204 3.86 3.728 4.174 3.685
-2.0 6.6 0.631 -0.321 3.6878 4.262 5.572 6.866 6.724 5.904 5.366 4.875 4.241 3.763 3.649 7.626 6.304 5.622 5.357 5.22 5.609 6.08 4.961 5.475 4.742 4.487 4.141 3.802 3.672 4.112 3.63
-2.0 6.6 0.65 -0.298 3.6901 4.261 5.515 6.775 6.65 5.839 5.306 4.819 4.192 3.718 3.606 7.533 6.233 5.56 5.299 5.166 5.548 6.013 4.904 5.414 4.688 4.436 4.093 3.757 3.629 4.065 3.587
-2.0 6.6 0.672 -0.273 3.6927 4.261 5.453 6.675 6.567 5.767 5.241 4.759 4.139 3.671 3.561 7.432 6.154 5.493 5.238 5.108 5.481 5.939 4.843 5.348 4.629 4.381 4.041 3.709 3.583 4.014 3.541
-2.0 6.6 0.7 -0.237 3.6963 4.257 5.362 6.532 6.45 5.664 5.147 4.671 4.062 3.601 3.494 7.288 6.042 5.397 5.148 5.023 5.384 5.833 4.755 5.252 4.544 4.301 3.965 3.638 3.514 3.939 3.474
-2.0 6.6 0.725 -0.198 3.7051 4.269 5.266 6.318 6.29 5.539 5.043 4.583 3.999 3.555 3.454 7.071 5.897 5.288 5.055 4.942 5.274 5.702 4.663 5.143 4.461 4.229 3.904 3.588 3.472 3.882 3.434
-2.0 6.6 0.75 -0.158 3.7143 4.28 5.164 6.102 6.127 5.412 4.936 4.492 3.933 3.506 3.412 6.853 5.748 5.176 4.959 4.858 5.161 5.568 4.57 5.032 4.375 4.155 3.84 3.537 3.427 3.821 3.391
-2.0 6.6 0.788 -0.112 3.7189 4.274 5.051 5.933 5.984 5.287 4.821 4.386 3.839 3.42 3.329 6.683 5.612 5.058 4.85 4.755 5.043 5.438 4.461 4.915 4.271 4.056 3.747 3.449 3.342 3.729 3.308
-2.0 6.6 0.8 -0.096 3.7205 4.271 5.01 5.874 5.933 5.242 4.78 4.347 3.805 3.388 3.299 6.624 5.564 5.016 4.811 4.718 5.0 5.392 4.422 4.873 4.233 4.021 3.713 3.417 3.311 3.696 3.278
-2.0 6.6 0.849 -0.029 3.7279 4.26 4.843 5.625 5.72 5.059 4.612 4.193 3.669 3.265 3.182 6.374 5.363 4.844 4.652 4.569 4.827 5.202 4.266 4.702 4.083 3.879 3.579 3.292 3.191 3.564 3.16
